,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,palmerston,-12.486,130.9833,81.03,67,0,4.61,AU,1658827999
302,chongqing,29.5628,106.5528,105.22,41,0,4.47,CN,1658827893
303,almeria,37.1667,-2.3333,94.44,26,0,8.03,ES,1658828000
304,zhezkazgan,47.8043,67.7144,93.18,13,40,11.18,KZ,1658828000
305,oxapampa,-10.5775,-75.4017,57.83,97,100,1.79,PE,1658828001
306,half moon bay,37.4636,-122.4286,62.42,89,100,6.91,US,1658828001
307,rio grande,-32.035,-52.0986,61.95,98,32,8.43,BR,1658828001
308,provideniya,64.3833,-173.3,42.84,77,63,7.05,RU,1658828002
309,goderich,43.7501,-81.7165,57.9,94,76,5.75,CA,1658827845
310,norman wells,65.282,-126.8329,60.84,67,75,6.91,CA,1658828002
311,sobolevo,54.4299,31.8996,73.67,66,8,3.38,RU,1658828003
312,kalachinsk,55.0529,74.5751,83.79,48,15,9.08,RU,1658828003
313,tarakan,3.3,117.6333,83.32,71,90,8.3,ID,1658828004
314,evensk,61.95,159.2333,50.7,93,100,3.4,RU,1658828004
315,kasongo-lunda,-6.4667,16.8167,91.09,17,7,7.34,CD,1658828004
316,kurumkan,54.3,110.3,68.92,75,67,5.01,RU,1658828005
317,berlevag,70.8578,29.0864,62.6,82,75,6.91,NO,1658828005
318,marang,5.2056,103.2059,76.91,80,92,8.01,MY,1658828005
319,jambi,-1.6,103.6167,85.26,68,95,2.57,ID,1658828006
320,broken hill,-31.95,141.4333,49.91,51,1,8.12,AU,1658828006
321,tuatapere,-46.1333,167.6833,44.46,94,100,12.28,NZ,1658828007
322,ninghai,29.2892,121.4247,85.68,77,56,6.38,CN,1658828007
323,dikson,73.5069,80.5464,51.08,65,26,22.19,RU,1658828008
324,anloga,5.7947,0.8973,77.59,82,100,16.31,GH,1658828008
325,lipari,38.4674,14.954,88.0,68,0,6.26,IT,1658828008
326,severo-yeniseyskiy,60.3725,93.0408,62.71,69,100,7.36,RU,1658828009
327,mahajanga,-15.7167,46.3167,89.62,33,20,6.91,MG,1658828009
328,suruc,36.9761,38.425,98.4,11,0,9.35,TR,1658828009
329,teguise,29.0605,-13.564,88.02,33,0,26.46,ES,1658828010
330,adrar,20.5022,-10.0711,94.93,31,34,6.62,MR,1658828010
331,tete,-16.1564,33.5867,75.29,60,75,11.5,MZ,1658828054
332,arinos,-15.9169,-46.1056,58.78,67,0,1.16,BR,1658828054
333,padang,-0.9492,100.3543,86.05,73,83,4.03,ID,1658828055
334,namibe,-15.1961,12.1522,65.03,82,100,0.0,AO,1658828055
335,poum,-20.2333,164.0167,73.9,72,27,10.38,NC,1658828055
336,vila franca do campo,37.7167,-25.4333,72.01,85,62,4.59,PT,1658828056
337,antofagasta,-23.65,-70.4,56.48,83,53,3.76,CL,1658828056
338,waynesville,35.4887,-82.9887,69.64,79,80,1.01,US,1658828057
339,port keats,-14.25,129.55,74.46,55,52,4.83,AU,1658828057
340,general roca,-39.0333,-67.5833,44.24,91,100,10.51,AR,1658828057
341,byron bay,-28.65,153.6167,67.96,65,0,13.49,AU,1658828058
342,matara,5.9485,80.5353,84.92,69,34,14.25,LK,1658828058
343,heishan,41.6892,122.1128,79.3,77,18,10.27,CN,1658828059
344,revelstoke,50.9832,-118.2023,68.02,68,0,6.91,CA,1658827845
345,yulara,-25.2406,130.9889,55.54,34,0,10.74,AU,1658828059
346,guangyuan,32.442,105.823,89.65,68,51,4.43,CN,1658828059
347,sola,-13.8833,167.55,77.67,94,40,0.0,VU,1658828060
348,plettenberg bay,-34.0527,23.3716,69.85,33,0,1.01,ZA,1658828060
349,la ronge,55.1001,-105.2842,59.22,72,75,9.22,CA,1658827844
350,zambezi,-13.5432,23.1047,81.39,18,0,11.23,ZM,1658828061
351,chuy,-33.6971,-53.4616,58.03,99,89,6.06,UY,1658828061
352,baruun-urt,46.6806,113.2792,72.23,57,12,17.4,MN,1658828062
353,san patricio,28.017,-97.5169,86.85,84,38,5.55,US,1658828062
354,luderitz,-26.6481,15.1594,58.82,68,68,17.54,NA,1658828062
355,whitianga,-36.8333,175.7,55.13,86,97,18.43,NZ,1658828063
356,minot,48.2325,-101.2963,62.82,88,75,8.05,US,1658827946
